,hotel_id,hotel_name,first recommendation,distance 1,second recommendation,distance 2,thrid recommendation,distance 3
674,5305555,Hotel Lynx,Lexington Inn,0.42264973081037416,Oasis Motel,0.6666666666666665,Red Lion Inn and Suites Brooklyn,0.7418011102528388
675,8680787,"The Renwick Hotel New York City, Curio Collection by Hilton","The Bernic Hotel New York City, Tapestry Collection by Hilton",0.8700757602846096,"Martinique New York on Broadway, Curio Collection by Hilton",0.8891331705852126,The Tuscany - A St Giles Signature Hotel,0.9101304390192223
676,10368723,Fairfield Inn & Suites New York Manhattan/Central Park,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,0.9098094826930404,Fairfield Inn & Suites New York Manhattan/Times Square,0.9140832593060056,Fairfield Inn & Suites New York Manhattan/Chelsea,0.9241901956421097
677,15135187,Park Terrace Hotel on Bryant Park,The Bryant Park Hotel,0.8985067022158711,Hotel 50 Bowery NYC,0.9160492099854012,Hotel Giraffe by Library Hotel Collection,0.9242280744395832
678,93583,The Lombardy,The Kimberly Hotel,0.9147372554278153,AKA Central Park,0.9246156379184753,Fitzpatrick Manhattan Hotel,0.9420495219716658
679,121999,AKA Sutton Place,AKA Wall Street,0.7544924184414261,AKA United Nations,0.783459121288589,Hotel Americano,0.8021090220327385
680,585487,Comfort Inn Brooklyn City Center,Chelsmore Apartments,0.7867992836443896,Days Inn by Wyndham Brooklyn,0.8456966500379081,Courtyard New York Manhattan/Fifth Avenue,0.913613157441864
681,1477775,The MAve Hotel,Residence Inn New York Manhattan/Financial District,0.841886116991581,Living Manhattan,0.9122941980692971,Hotel Deauville,0.9154845745271484
682,1606543,ComfortStayNYC,Abode Bed and Breakfast,0.6464466094067263,Margot Guest House,0.6464466094067263,The Soho Loft,0.75
683,2084239,Midtown Deluxe Apartments,Kore Properties 73,0.7113248654051871,Chelsea Mews Guest House,0.7958758547680684,Midtown Stay,0.8110177634953863
684,4945551,WestHouse Hotel New York,Viceroy Central Park New York,0.8616231015553318,The Quin Central Park by Hilton Club,0.893050671780605,The Michelangelo Hotel,0.9016224898142402
685,6407567,Hilton Garden Inn New York - Times Square Central,Hilton Garden Inn Times Square,0.8215110733125878,Hilton Times Square,0.8769391521203618,Hilton Garden Inn New York Times Square South,0.8943534763149601
686,6717455,City Rooms NYC Chelsea,Hotel 31,0.885645740687649,The Bowery House,0.8980406572264897,City Rooms NYC - Times Square,0.9015349110056092
687,12164367,Baltic Huis,La Quinta Inn & Suites Brooklyn Central,0.9105572809000084,La Quinta Inn & Suites Brooklyn East,0.9105572809000084,Gowanus Inn and Yard,0.9309934440657646
688,13892623,Canal Loft Hotel,Broadway Hotel and Hostel,0.8079457695197144,Central Park West Hostel,0.8273352244133767,The Bowery House,0.8279264861078899
689,93575,The Franklin,Hotel Wales,0.8856792842186095,Third Ave House,0.9103778570103558,Excelsior Hotel,0.9184496779213367
690,121991,Seton Hotel,Pod 39 Hotel,0.8885358627139467,Broadway Plaza Hotel,0.929722581911539,Pod 51 Hotel,0.9300898759924736
691,502407,AKA United Nations,AKA Sutton Place,0.783459121288589,59th Street Bridge Suites,0.8377785788692375,Oakwood at 777 6th Avenue,0.8470561774196255
692,6610567,The Marmara Park Avenue,Royalton Park Avenue,0.8647164176433081,The Marmara Manhattan,0.877352333378858,The Wagner at the Battery,0.9308635517465771
693,9780743,Howard Johnson by Wyndham Brooklyn,Quality Inn,0.29289321881345254,Red Carpet Inn,0.5,Voyage Hotel,0.8651600275073515
694,11998087,Embassy Suites by Hilton New York Midtown Manhattan,"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",0.9153103440938676,SpringHill Suites New York Midtown Manhattan/Fifth Avenue,0.9275899484477728,New York Hilton Midtown,0.9335748583933585
695,14085767,Funky Buddha Hostel,Times Square Beds,1.0,Novotel New York Times Square,1.0,YOTEL New York,1.0
696,15004167,Victorian Inn,Holiday Inn Express Building 107 On Fort Hamilton (An IHG Army Hotel),0.8110177634953863,The Ultimate,0.8110177634953863,J-Stel,0.8663693790437879
697,208453,Hilton Times Square,Hilton Garden Inn Times Square,0.8062721145578762,Hilton Garden Inn New York - Times Square Central,0.8769391521203618,The Westin New York at Times Square,0.8816873214534443
698,1179077,The International Cozy Inn,255West Guesthouse,0.8399478263433449,Harlem Bed and Breakfast,0.9009852457023326,The Park Ave North,0.9013902157196239
699,1913413,The Jewel facing Rockefeller Center,"Club Quarters Hotel, opposite Rockefeller Center",0.8627397608702443,"Club Quarters Hotel, Times Square -Midtown",0.9100481398232438,YOTEL New York,0.931715517647009
700,4702789,The Towers at Lotte New York Palace,Lotte New York Palace,0.8147651804182457,The Langham New York Fifth Avenue,0.8454426525821025,Crosby Street Hotel,0.8708673377207818
701,13356101,Springhills Suites by Marriott,Merrion Row Hotel and Public House,0.9675557157738475,Carvi Hotel New York,0.969780105739225,Four Points by Sheraton Manhattan Chelsea,0.9698488655422236
702,14086469,The Assemblage John Street,Residence Inn New York Downtown Manhattan World Trade Center Area,0.9203823486227665,Moxy NYC Downtown,0.9219205246168006,Churchill at 15 Park Row,0.9226176767465863
703,15292101,Rostel,East Village Hotel,0.9404508665824586,Da Vinci Hotel,0.9567257677592085,Bowery Grand Hotel,0.9610750527919238
704,93516,Novotel New York Times Square,Crowne Plaza Times Square Manhattan,0.816978591563186,Hilton Garden Inn Times Square,0.8741613254161936,YOTEL New York,0.8873666650407049
705,645836,Times Square Beds,Thomas Family B&B,0.7763932022500211,Bed and Breakfast NYC,0.8852921330647191,U Hotel Fifth Avenue,0.9631395109612757
706,2079052,YOTEL New York,Crowne Plaza Times Square Manhattan,0.7644705960333364,The New Yorker a Wyndham Hotel,0.7700996182928506,Hotel 50 Bowery NYC,0.7924147485500791
707,2359244,Heart of Harlem,Empire 120,0.8174258141649446,San Fermin B&B,0.8202133700098021,Easyliving-harlem,0.8267949192431123
708,10066892,Hotel 50 Bowery NYC,YOTEL New York,0.7924147485500791,Crowne Plaza HY36 Midtown Manhattan,0.8168416854459255,Hotel Giraffe by Library Hotel Collection,0.8214067939754768
709,11894988,Safehouse Suites,Thomas Family B&B,0.8309691490542968,Midtown East Residence by Globe Quarters,0.8456966500379081,Macy's Apartments,0.8804771390665607
710,15582668,Times Square West Midtown Apartment,Heart of Harlem,1.0,Times Square Beds,1.0,Rostel,1.0
711,15685580,Bluebird Suites in Jersey City,Times Square Beds,1.0,Novotel New York Times Square,1.0,YOTEL New York,1.0
712,251906,The Wall Street Inn,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,0.9159973118709691,Fairfield Inn & Suites New York Downtown Manhattan/World Trade Center Area,0.9275340574600244,Bridgestreet 85 John Street,0.932115576669787
713,313346,Stay the Night Bed & Breakfast,Empire 120,0.6464466094067263,Margot Guest House,0.75,Upper Yorkville Suites,0.75
714,643970,Broadway Hotel and Hostel,Royal Park Hotel,0.7585174610930451,The Vanderbilt YMCA,0.7654038388493734,Morningside Inn,0.7669850533246817
715,1145602,Upper West Side Townhouse,The Vanderbilt YMCA,0.950852681281701,Aliz Hotel Times Square,0.9509119306326184,Hostelling International - New York,0.9537255186617253
716,1544194,Kore 31,The Marmara Park Avenue,0.9383373584021792,Park South Hotel,0.9440983005625052,The New York EDITION,0.9475857581639041
